name	players	best_players	artists	mechanism	premium
海賊ダイス	2~5人	3人	Haim Shafir Mario Barbati, Rafael José Pardo Macías, Jose Pedro	ダイスロール プレス・ユア・ラック セットコレクション	0
カッラーラの宮殿	2~4人	4人	Michael Kiesling&Wolfgang Kramer Franz Vohwinkel	セットコレクション タイル配置	0
カバレオ	2~4人	2人	Jean-Luc Renaud	アブストラクト タイル配置 ブラフ	0
カフナ	2人専用	2人	Gunter Cornett Claus Stephan	エリアコントロール カードドラフト ハンドマネジメント	0
神	2~4人	4人	未詳(ごいたを基にしているため) Pauline Berdal	ハンドマネジメント チーム戦	0
カラーポップ	2~5人	2または3人	Lionel Borg Gigamic	アブストラクト ブラフ	0
カラハ	2人専用	2人	未詳	アブストラクト	0
カリビアンオールフォー	4人	4人専用	未詳	トリックテイキング ポイントトリック パートナーシップ	0
カルカソンヌ	2~5人	2人	Klaus-Jurgen Wrede Doris Matthaus	エリアコントロール タイル配置	1
ギアとピストン	2~6人	4人	Jukka Hoysniemi Jukka Hoysniemi, Kari J. Kallio, Konstantinos Kokkinis, Odyss	カードドラフト ハンドマネジメント セットコレクション タイル配置 ワーカープレイスメント	0
キーフラワー	2~6人	4人	Richard Breese, Sebastian Bleasedale Juliet Breese, Jo Breese, Gemma Tegelaers	競り ピック＆デリバリー ルート構築 セットコレクション タイル配置 ワーカープレイスメント	0
キャントストップ	2~4人	3人	Sid Sackson 不明	ダイスロール プレス・ユア・ラック	1
ギュゲース	2人専用	2人	Claude Leroy 不明	アブストラクト グリッドムーブメント	0
凶星のデストラップ	5人	2～7人	Ghislain Masson Sebastien Caiveau	行動プログラム ハンドマネジメント チーム戦 アクション同時解決	0
ギルド	4,5人	3~6人	Frederic Bizet Romain Gaschet	カードドラフト ハンドマネジメント マジョリティ	0
キングズ・ギルド	1~6人	3,4人	Matthew Austin Laura Bevon	ハンドマネジメント セットコレクション ヴァリアブルプレイヤーパワー	0
キングドミノ	4人	2~4人	Bruno Cathala Cyril Bouquet	ドラフト タイル配置	1
クアルト	2人専用	2人	Blaise Muller 不明	アブストラクト パターン構築	0
クァンタム	2~4人	4人	Eric Zimmerman Georges Bouchelaghem, Kieran Yanner	エリアコントロール ダイスロール グリッドムーブメント ヴァリアブルプレイヤーパワー	0
クー	2~6人	5人	Rikki Tahta	ブラフ メモリー プレイヤーエリミネイション ヴァリアブルプレイヤーパワー	1
クシディット王国記	3~5人	4または5人	Regis Bonnessee Xavier Gueniffey Durin, Stephane Gantiez	行動プログラム エリアコントロール ピック＆デリバリー ポイント・トゥ・ポイント アクション同時解決	0
グラミー	2人専用	2人	Klaus-Peter Rudolph Martin Hoenicke	アブストラクト	0
クランズ・オブ・カレドニア	1~4人	4人	Juma Al-JouJou Klemens Franz	コモディティスペキュレーション 可変ボード ヴァリアブルプレイヤーパワー	1
クリおじさんのテーブルガイプ	2~4人	4人	Paul, Christopher Nowak 不明	ダイスロール グリッドムーブメント ポイント・トゥ・ポイント	0
クロスマスター・アリーナ	2人専用	2人	Murat Celebi, Nicolas Degouy, TOT Edouard Guiton, Alexandre Papet	アクションポイント カードドラフト ダイスロール グリッドムーブメント ヴァリアブルプレイヤーパワー	0
クロノス	2~5人	4人	Arnaud Urbon, Ludovic Vialla Jean-Claude Adelmand, Geoffrey Stepourenko	エリアコントロール ハンドマネジメント タイル配置	0
ケイラス	2~5人	3人	William Attia Arnaud Demaegd	ワーカープレイスメント	0
こいこい	2人専用	2人	不明 Kelsey Cretcher	ハンドマネジメント セットコレクション	0
ゴス	2~4人	2人	Kim Sato Bertrand Benoit, Romain Gaschet et Ian Parovel	ハンドマネジメント カードドラフト	0
古代の建築士たち	3人	2～4人	Frederic Henry Sabrina Miramon	アクションポイント カードドラフト セットコレクション	0
五目並べ	2人専用	2人	未詳	パターン構築	0
コリドール	2または4人	2人	Mirko Marchesi 不明	アブストラクト グリッドムーブメント	0
高麗 (こりょ)	2~4人	3人	Gary Kim Stephane Gantiez, Ian Parovel	セットコレクション アクション同時解決	0
コルト・エクスプレス	2~6人	5または6人	Christophe Raimbault Jordi Valbuena	行動プログラム ハンドマネジメント メモリー ヴァリアブルプレイヤーパワー	0
コロレット	3~5人	4人	Michael Schacht Michael Schacht	カードドラフト セットコレクション	0
サークル・オブ・ライフ	2人専用	2人	Nick Bentley Nick Bentley	エリアマジョリティ パターン構築	0
最後の人々	3~5人	4人	Fabrice Belot Floris Leprat	ハンドマネジメント	0
ザ・ボス	2~5人	4人 2人は非推奨	Alain Ollier Tony Rochon	競り ブラフ	0
シークレットムーン	5~8人	7人(5人は非推奨)	カナイセイジ 杉浦のぼる	正体隠匿 パートナーシップ ヴァリアブルプレイヤーパワー	0
シニョーリエ	2~4人	4人	Andrea Chiarvesio, Pierluca Zizzi Mariano Iannelli	ダイスロール セットコレクション ワーカーリムーブメント	0
ジャイプル	2人専用	2人	Sebastien Pauchon Alexandre Roche	カードドラフト ハンドマネジメント セットコレクション	1
シャム	2人専用	2人	Didier Dhorbait Biboun	グリッドムーブメント	0
シャンチー	2人専用	2人	未詳	グリッドムーブメント	0
ジャンビ	3~4人	4人	Jean Anesto Rsalen(Classic theme), Reno,Boulet,Lucie Albon(Whimsy theme)	アブストラクト	0
ジャンプゲート	2~5人	4人	Matt Worden Matt Worden	ハンドマネジメント セットコレクション	0
十二季節の魔法使い カード一覧	2~4人	2人	Regis Bonnessee Xavier Gueniffey Durin	カードドラフト ハンドマネジメント	0
シンコ	2~4人、または6人	3人以外	不明	ハンドマネジメント パターン構築	0
四色牌 (スーソーパイ)	2~5人	3人	未詳	セットコレクション	0
スカート	3人専用	3人	未詳	トリックテイキング ビッディング	0
すしゴー！	2~5人	4人	Phil Walker-Harding Nan Rangsima, Tobias Schweiger, Phil Walker-Harding	カードドラフト ハンドマネジメント セットコレクション アクション同時解決 ヴァリアブルプレイヤーパワー	1
ステアフライ・エイティーン	2~5人	4人	Marshall Britt Marshall Britt	ブラフ デッキ構築 ハンドマネジメント メモリー セットコレクション	1
ストーンエイジ	2~4人	3人	Michael Tummelhofer Michael Menzel	ダイスロール セットコレクション ワーカープレイスメント	0
スパイリウム	2~5人	4人	William Attia Neriac & Arnaud Demaegd	ワーカープレイスメント	0
